IdEmpresa,Año,IdMes,Energía Facturada (MWh),temperatura,precipitacion,PIB_mensual_interpolado,COSTO_CANASTA,INGRESO_FAMILIAR_MENSUAL
11,2009,1,32904.522021,17.03,239.58,19048194.13,512.03,406.93
11,2009,2,32088.890585,16.18,178.15,19017244.53,513.27,406.93
11,2009,3,32373.116098,16.8,133.67,18989494.5,519.9,406.93
11,2009,4,33725.85773,16.83,221.99,18961052.71,522.76,406.93
11,2009,5,33032.727702000004,16.84,169.84,18936260.49,522.75,406.93
11,2009,6,34092.261022,16.43,225.25,18907178.5,522.38,406.93
11,2009,7,34199.848118,16.49,154.16,18867992.41,521.73,406.93
11,2009,8,34675.291269,16.74,184.28,18815652.9,519.3,406.93
11,2009,9,34050.871706000005,17.26,114.85,18780968.14,521.26,406.93
11,2009,10,35399.847158,18.1,182.05,18799372.21,522.34,406.93
11,2009,11,32499.228534,18.44,133.84,18894316.02,522.59,406.93
11,2009,12,32303.294473,18.19,144.87,19028374.04,528.9,406.93
11,2010,1,32039.635597,17.14,84.07,19164426.62,534.33,448.0
11,2010,2,33113.554942,17.6,131.77,19263288.02,535.48,448.0
11,2010,3,34506.467739,17.59,135.91,19331388.5,535.56,448.0
11,2010,4,36097.803676,18.0,246.51,19406796.34,539.67,448.0
11,2010,5,36353.291986,17.76,259.44,19500128.31,538.89,448.0
11,2010,6,36731.564013,16.69,185.2,19627030.21,538.12,448.0
11,2010,7,36099.708795,16.69,170.35,19785292.12,536.93,448.0
11,2010,8,36279.25691,16.39,93.41,19984803.5,538.73,448.0
11,2010,9,37659.635261,17.02,109.45,20192809.98,539.36,448.0
11,2010,10,37281.917311,17.8,123.74,20369211.07,540.1,448.0
11,2010,11,37617.786353,17.77,171.1,20503780.26,541.82,448.0
11,2010,12,38932.30923,17.26,209.82,20611867.25,544.71,448.0
11,2011,1,37386.387446,16.88,149.01,20737236.8,548.63,492.8
11,2011,2,37100.068092,16.8,169.63,20902485.18,551.24,492.8
11,2011,3,37843.405335,16.76,143.05,21071061.22,551.87,492.8
11,2011,4,38204.272091,16.82,207.29,21251886.24,555.27,492.8
11,2011,5,37470.512241,16.44,237.09,21398872.73,557.44,492.8
11,2011,6,38954.987889,16.4,156.73,21518302.31,556.93,492.8
11,2011,7,37833.204149,15.8,182.25,21604093.24,559.41,492.8
11,2011,8,38337.171247,16.62,126.49,21667807.12,563.75,492.8
11,2011,9,40223.924867,16.76,152.85,21728562.47,567.41,492.8
11,2011,10,39628.202924,17.75,135.29,21809614.29,571.08,492.8
11,2011,11,39695.632728,18.9,189.32,21932191.45,572.35,492.8
11,2011,12,40933.808097,18.31,215.84,22065958.74,578.04,492.8
11,2012,1,39623.56673,16.49,189.8,22186857.44,581.21,545.07
11,2012,2,38762.077496,16.08,169.91,22268266.76,583.27,545.07
11,2012,3,40091.43828,16.04,231.91,22329986.56,587.36,545.07
11,2012,4,39831.108604,16.5,200.6,22414576.31,588.48,545.07
11,2012,5,41148.965933,15.9,153.02,22536010.54,584.71,545.07
11,2012,6,40867.914692000006,16.09,159.7,22673997.17,586.18,545.07
11,2012,7,40450.714995,15.67,172.71,22779924.61,585.81,545.07
11,2012,8,41711.690496,15.71,162.19,22835995.69,587.86,545.07
11,2012,9,41783.003333,16.16,86.27,22878491.75,594.06,545.07
11,2012,10,42701.723914,17.26,188.91,22960498.89,595.44,545.07
11,2012,11,43762.375608,17.38,128.37,23124667.16,596.42,545.07
11,2012,12,42311.634802,18.05,127.51,23327365.05,595.7,545.07
11,2013,1,44045.189611,16.75,92.6,23530150.98,601.61,593.6
11,2013,2,41480.659798,16.19,188.68,23689786.83,602.07,593.6
11,2013,3,43325.080633000005,16.81,177.33,23820378.27,604.25,593.6
11,2013,4,45382.229764,16.86,169.08,23991557.98,605.52,593.6
11,2013,5,44930.484873,16.71,173.85,24208660.05,605.92,593.6
11,2013,6,43885.127739,16.0,217.59,24442731.67,606.29,593.6
11,2013,7,44556.755294,15.4,203.7,24619807.88,606.48,593.6
11,2013,8,45155.968092,15.69,171.32,24707895.1,609.57,593.6
11,2013,9,43835.200518,16.98,138.33,24725220.3,612.05,593.6
11,2013,10,45717.455203000005,17.63,152.67,24715105.0,614.01,593.6
11,2013,11,46187.361233,18.52,144.23,24712739.28,617.54,593.6
11,2013,12,43925.948393,18.76,142.98,24730327.17,620.86,593.6
11,2014,1,45969.116585,16.92,170.52,24775970.49,628.27,634.67
11,2014,2,44171.755255,16.93,145.87,24855664.77,628.22,634.67
11,2014,3,44035.247448,16.79,192.11,24959070.89,632.19,634.67
11,2014,4,45773.076533,16.5,179.71,25109867.71,633.61,634.67
11,2014,5,46415.25354,16.01,208.88,25284995.04,634.27,634.67
11,2014,6,45388.498238,15.35,184.35,25451593.01,634.67,634.67
11,2014,7,46462.217022,15.24,175.86,25547157.3,637.0,634.67
11,2014,8,46183.960887,15.18,168.67,25547444.08,638.06,634.67
11,2014,9,46079.070803,15.88,151.43,25509584.92,641.2,634.67
11,2014,10,49418.222859,16.51,163.79,25516850.62,642.85,634.67
11,2014,11,48772.338332,17.11,101.79,25615754.16,644.74,634.67
11,2014,12,47346.371698,17.2,112.5,25706584.96,646.3,634.67
11,2015,2,45802.186569000005,17.41,124.68,25402791.89,654.48,660.8
11,2015,3,50735.128392,17.09,242.16,25106748.8,657.68,660.8
11,2015,4,48378.755397,16.88,248.37,24904872.93,660.85,660.8
11,2015,5,48912.797308,16.79,233.09,24967235.01,665.09,660.8
11,2015,6,49274.570773,15.98,243.43,25183993.99,666.92,660.8
11,2015,7,49105.74129,16.08,216.27,25369058.98,668.57,660.8
11,2015,8,49342.448939,16.39,149.1,25397950.6,668.95,660.8
11,2015,9,50095.578367,17.11,95.24,25293291.89,670.53,660.8
11,2015,10,49953.58388,17.49,161.86,25133753.15,669.88,660.8
11,2015,11,50227.139903,17.42,158.34,24971851.19,669.96,660.8
