IdEmpresa,NombreEmpresa,N_Puntos,Consumo_Promedio,RMSE,MAE,R2,Error_Relativo_Porcentual
11,E.E. Ambato,26,47248.426,5510.759,5330.281,0.496,11.663
17,E.E. Azogues,48,8206.640,3178.913,3090.156,-16.727,38.736
20,CNEL-Bolívar,21,5223.801,6480.245,6420.799,-51.409,124.052
26,CNEL-Guayaquil,18,344574.871,15332.206,11884.787,0.861,4.450
30,E.E. Centro Sur,24,75969.230,3507.251,2714.672,0.902,4.617
35,E.E. Cotopaxi,26,38986.897,2184.890,1861.120,0.890,5.604
54,CNEL-El Oro,21,60916.391,4769.478,3949.458,0.880,7.830
72,CNEL-Esmeraldas,21,32747.708,4401.246,3789.342,0.172,13.440
87,CNEL-Guayas Los Ríos,26,124349.754,11816.275,8102.658,0.875,9.502
130,CNEL-Los Ríos,20,21913.379,1735.392,1394.411,0.755,7.919
134,CNEL-Manabí,25,99612.916,7447.538,6159.579,0.776,7.476
136,CNEL-Milagro,26,48337.003,5626.310,3629.541,0.710,11.640
142,E.E. Norte,26,41494.175,4243.573,3552.151,0.383,10.227
174,E.E. Quito,26,329938.676,16547.405,15057.703,0.647,5.015
178,E.E. Riobamba,24,24071.107,2468.420,1966.471,0.614,10.255
189,CNEL-Sta. Elena,15,34774.159,3566.887,2520.811,0.805,10.257
191,CNEL-Sto. Domingo,26,39940.543,4312.607,3758.753,0.827,10.798
192,CNEL-Sucumbíos,25,20102.779,5165.544,3878.496,0.659,25.696
193,E.E. Sur,26,24736.252,4398.871,2844.108,0.601,17.783
